handle,title,target_query,seo_title,seo_description,intro,product_count,trade_safe
funny-vasectomy-gifts,Vasectomy Gifts,funny vasectomy gift,Funny Vasectomy Gifts | Rude Books for the Snip | Jen Jenivive,Funny vasectomy gifts for a man about to lose his best friends. Cheeky illustrated books that look innocent and absolutely are not. Free UK delivery over £25.,"Someone you love is booked in for the snip. He is being very brave about it. These are the books you give him in the waiting room, loudly, in front of other people.",11,yes
hen-party-gifts,Hen Party Gifts,funny hen party gifts,Funny Hen Party Gifts & Games | Rude Books | Jen Jenivive,Rude hen party gifts that get read out loud and ruin everyone. Illustrated innuendo books from £12.99. Free UK delivery over £25.,"The bit of the hen do where someone reads aloud and the room falls apart. Pick one per guest, or one for the bride and let her find out in public.",12,no
funny-menopause-gifts,Menopause Gifts,funny menopause gift,Funny Menopause Gifts | Perimenopause Books | Jen Jenivive,"Funny menopause and perimenopause gifts for women who have earned a laugh. Cheeky illustrated books, £12.99. Free UK delivery over £25.","For everyone currently negotiating with their own thermostat. Nobody warned her, so the least you can do is make her snort.",6,yes
secret-santa-gifts-under-15,Secret Santa Gifts Under £15,secret santa gifts under £15,Secret Santa Gifts Under £15 | Funny Books | Jen Jenivive,"Secret Santa gifts under £15 that actually get a reaction. Funny illustrated books, £12.99 each. Free UK delivery over £25.","The office Secret Santa budget is £10 and your reputation is on the line. These are £12.99, which is close enough, and nobody will forget who drew whose name.",12,yes
funny-christmas-gifts-for-adults,Christmas Gifts,funny christmas gifts for adults,Funny Christmas Gifts for Adults | Rude Books | Jen Jenivive,Funny Christmas gifts for adults who never grew up. Cheeky illustrated books and stocking fillers from £6.99. Free UK delivery over £25.,"Wrap it, put it under the tree, and wait for someone's nan to open it first. Christmas is the one day a year the whole family is trapped in a room together. Use it.",9,no
funny-fathers-day-gifts,Father's Day & Gifts for Dad,funny fathers day gift,Funny Father's Day Gifts | Rude Books for Dad | Jen Jenivive,Funny Father's Day gifts for a dad with a filthy sense of humour. Illustrated innuendo books from £12.99. Free UK delivery over £25.,He has enough socks. He has enough novelty beer glasses. Give him something he will read out at the table and then have to explain.,8,yes
funny-mothers-day-gifts,Mother's Day & Gifts for Mum,funny mothers day gift,Funny Mother's Day Gifts | Rude Books for Mum | Jen Jenivive,Funny Mother's Day gifts for a mum who swears more than you do. Cheeky illustrated books from £12.99. Free UK delivery over £25.,Your mum is filthier than you think. She has simply been waiting for permission.,7,no
funny-40th-birthday-gifts,Milestone Birthdays,funny 40th birthday gift,Funny 40th & 50th Birthday Gifts | Rude Books | Jen Jenivive,"Funny 40th and 50th birthday gifts for grown-ups. Cheeky illustrated books, £12.99. Free UK delivery over £25.",A big round number deserves a big rude book. Read it out before the speeches so everyone knows what kind of evening this is.,6,no
lgbtq-pride-gifts,Pride & LGBTQ+ Gifts,funny lgbtq gifts,Funny LGBTQ+ & Pride Gifts | Rude Books | Jen Jenivive,Funny Pride and LGBTQ+ gifts with the innuendo turned all the way up. Illustrated books from £12.99. Free UK delivery over £25.,"Tried and tested on an actual Pride stall, where a group of strangers took turns reading these to each other and called it the highlight of their day.",9,no
funny-divorce-and-breakup-gifts,Divorce & Break-Up Gifts,funny divorce gift,Funny Divorce & Break-Up Gifts | Rude Books | Jen Jenivive,Funny divorce and break-up gifts for a friend who needs a laugh more than a casserole. Books from £12.99. Free UK delivery over £25.,"Flowers say sorry. A rude book says you are going to be absolutely fine, and also here is a drawing of a beaver.",6,yes
